name,home_url,sitemap_url,use_sitemap,active
asianetnews,https://kannada.asianetnews.com/,https://kannada.asianetnews.com/sitemap.xml,False,True
balkaninews,https://balkaninews.com/,https://balkaninews.com/sitemap.xml,False,True
boldsky,https://kannada.boldsky.com/,https://kannada.boldsky.com/sitemap.xml,False,True
btvnewslive,https://btvnewslive.com/,https://btvnewslive.com/sitemap_index.xml,False,True
careerindia,https://kannada.careerindia.com/,,False,True
drivespark,https://kannada.drivespark.com/,,False,True
eesanje,https://www.eesanje.com/,,False,True
ensuddi,https://www.ensuddi.com/,,False,True
filmibeat,https://kannada.filmibeat.com,https://kannada.filmibeat.com/sitemap.xml,False,True
gizbot,https://kannada.gizbot.com/,,False,True
goodreturns,https://kannada.goodreturns.in/,,False,True
indiatimes,https://vijaykarnataka.indiatimes.com/,https://vijaykarnataka.indiatimes.com/sitemap.xml,False,True
janathavani,http://janathavani.com/,http://janathavani.com/sitemap.xml,False,True
justkannada,https://www.justkannada.in/,,False,True
kannadadunia,http://kannadadunia.com/,http://kannadadunia.com/sitemap.xml,False,True
kannadamma,https://kannadamma.net/,https://kannadamma.net/sitemap.xml,False,True
kannadanews,https://kannadanews.today,,False,True
kannadaprabha,https://www.kannadaprabha.com/,,False,True
kannadaratna,https://kannadaratna.com/,,False,True
karavaldaily,http://kannada.karavaldaily.com,,False,True
krishijagran,https://kannada.krishijagran.com/,,False,True
mykhel,https://kannada.mykhel.com/,,False,True
nativeplanet,https://kannada.nativeplanet.com,,False,True
news18,https://kannada.news18.com/,https://kannada.news18.com/sitemap.xml,False,True
newskannada2,http://www.newskannada.in,,False,True
newskannada,http://www.newskannada.com,http://www.newskannada.com/sitemap.xml,False,True
oneindia,https://kannada.oneindia.com/,https://kannada.oneindia.com/sitemap.xml,False,True
prajaatvkannada,http://prajaatvkannada.com/,,False,True
prajapragathi,https://prajapragathi.com/,,False,True
prajavani,https://www.prajavani.net/,https://www.prajavani.net/sitemap.xml,False,True
publictv,https://publictv.in/,,False,True
sahilonline,http://www.sahilonline.net/ka,https://www.sahilonline.net/sitemap/posts/ka,False,True
sanjevani,http://sanjevani.com/sanjevani/,,False,True
suddidina,http://www.suddidina.com/,http://www.suddidina.com/sitemap.xml,False,True
tv5kannada,http://tv5kannada.com/,,False,True
udayavani,https://www.udayavani.com/,https://www.udayavani.com/sitemap.xml,False,True
vaarte,https://vaarte.com/,https://vaarte.com/sitemap.xml,False,True
varthabharati,http://www.varthabharati.in/,http://www.varthabharati.in/sitemap.xml,False,True
vishwavani,http://vishwavani.news/,http://vishwavani.news/sitemap.xml,False,True
