name,home_url,sitemap_url,use_sitemap,active
aajkaaldaily,https://www.aajkaaldaily.com/,https://www.aajkaaldaily.com/sitemap.xml,False,True
aaspassindia,http://www.aaspassindia.com/index.aspx,http://www.aaspassindia.com/sitemap.xml,False,True
akilanews,https://www.akilanews.com/,https://www.akilanews.com/sitemap.xml,False,True
bbc,https://www.bbc.co.uk/programmes/b007313q,https://www.bbc.co.uk/programmes/sitemap.xml,False,True
bilkulonline,http://www.bilkulonline.com/,http://www.bilkulonline.com/sitemap.xml,False,True
bombaysamachar,http://www.bombaysamachar.com/,http://www.bombaysamachar.com/sitemap.xml,False,True
dhabkar,http://www.dhabkar.in/,http://www.dhabkar.in/sitemap.xml,False,True
divyabhaskar,https://www.divyabhaskar.co.in/,https://www.divyabhaskar.co.in/sitemap.xml,False,True
eaglenews,https://eaglenews.in/,https://eaglenews.in/sitemap.xml,False,True
gujaratabroad,http://www.gujaratabroad.ca/,http://www.gujaratabroad.ca/sitemap.xml,False,True
gujaratguardian,http://www.gujaratguardian.in/,http://www.gujaratguardian.in/sitemap.xml,False,True
gujaratimidday,https://www.gujaratimidday.com/,https://www.gujaratimidday.com/sitemap.xml,False,True
gujaratindia,https://gujaratindia.gov.in/,https://gujaratindia.gov.in/sitemap.xml,False,True
gujaratmitra,http://www.gujaratmitra.in/,http://www.gujaratmitra.in/sitemap.xml,False,True
gujaratsamachar,https://www.gujaratsamachar.com/,https://www.gujaratsamachar.com/sitemap.xml,False,True
gujarattimesusa,http://gujarattimesusa.com/,http://gujarattimesusa.com/sitemap.xml,False,True
gujarattoday,http://www.gujarattoday.in/,http://www.gujarattoday.in/sitemap.xml,False,True
iamgujarat,https://www.iamgujarat.com/,https://www.iamgujarat.com/sitemap.xml,False,True
india,https://zeenews.india.com/gujarat,https://zeenews.india.com/sitemap.xml,False,True
indiatimes,http://gujarati.economictimes.indiatimes.com/,http://gujarati.economictimes.indiatimes.com/sitemap.xml,False,True
jaihindnewspaper,http://www.jaihindnewspaper.com/,http://www.jaihindnewspaper.com/sitemap.xml,False,True
janmabhoominewspapers,https://www.janmabhoominewspapers.com/,https://www.janmabhoominewspapers.com/sitemap.xml,False,True
kutchmitradaily,https://www.kutchmitradaily.com/,https://www.kutchmitradaily.com/sitemap.xml,False,True
kutchuday,http://kutchuday.in/,http://kutchuday.in/sitemap.xml,False,True
lokmijaj,http://lokmijaj.com/,http://lokmijaj.com/sitemap.xml,False,True
loksansar,http://www.loksansar.in/,http://www.loksansar.in/sitemap.xml,False,True
navgujaratsamay,https://www.navgujaratsamay.com/,https://www.navgujaratsamay.com/sitemap.xml,False,True
nayapadkar,http://nayapadkar.in/,http://nayapadkar.in/sitemap.xml,False,True
news18,https://www.news18.com/newstopics/gujarati.html,https://www.news18.com/newstopics/sitemap.xml,False,True
nirmalmetro,https://www.nirmalmetro.com/,https://www.nirmalmetro.com/sitemap.xml,False,True
nobat,http://www.nobat.com/,http://www.nobat.com/sitemap.xml,False,True
oneindia,https://gujarati.oneindia.com/,https://gujarati.oneindia.com/sitemap.xml,False,True
rakhewaldaily,https://rakhewaldaily.com/,https://rakhewaldaily.com/sitemap.xml,False,True
sambhaavmetro,https://epaper.sambhaavmetro.com/,https://epaper.sambhaavmetro.com/sitemap.xml,False,True
sandesh,http://sandesh.com/,http://sandesh.com/sitemap.xml,False,True
sanjsamachar,http://sanjsamachar.in/,http://sanjsamachar.in/sitemap.xml,False,True
sardargurjari,http://www.sardargurjari.com/,http://www.sardargurjari.com/sitemap.xml,False,True
saurashtrasatya,http://saurashtrasatya.com/,http://saurashtrasatya.com/sitemap.xml,False,True
sunvillasamachar,https://sunvillasamachar.com/,https://sunvillasamachar.com/sitemap.xml,False,True
webdunia,https://gujarati.webdunia.com/,https://gujarati.webdunia.com/sitemap.xml,False,True
westerntimes,http://www.westerntimes.co.in/,http://www.westerntimes.co.in/sitemap.xml,False,True
wordpress,https://muslimsandesh.wordpress.com/,https://muslimsandesh.wordpress.com/sitemap.xml,False,True
