id,name,language,home_url,sitemap_url,active
0,google,te,https://news.google.com/?edchanged=1&hl=te&gl=IN&ceid=IN:te,https://news.google.com/sitemap.xml,False
1,visalaandhra,te,http://visalaandhra.com/,http://visalaandhra.com/sitemap.xml,True
2,iranewspaper,te,https://www.iranewspaper.com/,https://www.iranewspaper.com/sitemap.xml,True
3,apdunia,te,http://www.apdunia.com/,http://www.apdunia.com/sitemap.xml,False
4,ap7am,te,https://www.ap7am.com/,https://www.ap7am.com/sitemap.xml,True
5,webdunia,te,http://telugu.webdunia.com/,http://telugu.webdunia.com/sitemap.xml,False
6,namasteandhra,te,http://www.namasteandhra.com/,http://www.namasteandhra.com/sitemap.xml,True
7,teluguone,te,http://teluguone.com/news/,http://teluguone.com/news/sitemap.xml,False
8,manatelangana,te,https://www.manatelangana.news/,https://www.manatelangana.news/sitemap.xml,False
9,eenadu,te,https://www.eenadu.net/,https://www.eenadu.net/sitemap.xml,True
10,telugutimes,te,http://www.telugutimes.net/,http://www.telugutimes.net/sitemap.xml,True
11,ahl,te,https://www.ahl.news/,https://www.ahl.news/sitemap.xml,False
12,ntnews,te,https://www.ntnews.com/,https://www.ntnews.com/sitemap.xml,True
13,journalisteye,te,http://telugu.journalisteye.com/,http://telugu.journalisteye.com/sitemap.xml,True
14,vastavamtv,te,http://www.vastavamtv.com/,http://www.vastavamtv.com/sitemap.xml,False
15,telugudaily24,te,https://telugudaily24.com/,https://telugudaily24.com/sitemap.xml,True
16,andhrawatch,te,http://www.andhrawatch.com/,http://www.andhrawatch.com/sitemap.xml,False
17,samayam,te,https://telugu.samayam.com/,https://telugu.samayam.com/sitemap.xml,True
18,janamsakshi,te,http://janamsakshi.org/,http://janamsakshi.org/sitemap.xml,True
19,kommineni,te,http://kommineni.info/,http://kommineni.info/sitemap.xml,False
20,telugumirchi,te,http://www.telugumirchi.com/telugu/,http://www.telugumirchi.com/telugu/sitemap.xml,True
21,apherald,te,https://www.apherald.com/,https://www.apherald.com/sitemap.xml,False
22,gulte,te,https://telugu.gulte.com/,https://telugu.gulte.com/sitemap.xml,True
23,tupaki,te,http://www.tupaki.com/,http://www.tupaki.com/sitemap.xml,False
24,telugupeople,te,http://www.telugupeople.com/,http://www.telugupeople.com/sitemap.xml,False
25,prajasakti,te,http://www.prajasakti.com/,http://www.prajasakti.com/sitemap.xml,True
26,sakshi,te,https://www.sakshi.com/,https://www.sakshi.com/sitemap.xml,True
27,telugupost,te,https://telugu.telugupost.com/,https://telugu.telugupost.com/sitemap.xml,False
28,telugu360,te,https://www.telugu360.com/te/,https://www.telugu360.com/te/sitemap.xml,True
29,suryaa,te,http://telugu.suryaa.com/,http://telugu.suryaa.com/sitemap.xml,True
30,greatandhra,te,https://telugu.greatandhra.com/,https://telugu.greatandhra.com/sitemap.xml,True
31,ntvtelugu,te,https://www.ntvtelugu.com/,https://www.ntvtelugu.com/sitemap.xml,False
32,vaartha,te,https://www.vaartha.com/,https://www.vaartha.com/sitemap.xml,True
33,andhrabhoomi,te,http://www.andhrabhoomi.net/,http://www.andhrabhoomi.net/sitemap.xml,True
34,oneindia,te,https://telugu.oneindia.com/,https://telugu.oneindia.com/sitemap.xml,True
35,asianetnews,te,https://telugu.asianetnews.com/,https://telugu.asianetnews.com/sitemap.xml,True
36,news18,te,https://telugu.news18.com/,https://telugu.news18.com/sitemap.xml,False
37,samachar,te,http://telugu.samachar.com/,http://telugu.samachar.com/sitemap.xml,False
38,navatelangana,te,http://www.navatelangana.com/,http://www.navatelangana.com/sitemap.xml,True
39,telugubullet,te,https://telugu.telugubullet.com/,https://telugu.telugubullet.com/sitemap.xml,False
40,andhrajyothy,te,https://www.andhrajyothy.com/,https://www.andhrajyothy.com/sitemap.xml,False
